 time           v(VOUT1)      
 1.9525000e-05  1.1862069e+00 
 1.9575000e-05  1.1862069e+00 
 1.9625000e-05  1.1862069e+00 
 1.9675000e-05  1.1862069e+00 
 1.9725000e-05  1.1862069e+00 
 1.9775000e-05  1.1862069e+00 
 1.9825000e-05  1.1862069e+00 
 1.9875000e-05  1.1862069e+00 
 1.9925000e-05  1.1862069e+00 
 1.9975000e-05  1.1862069e+00 
 2.0025000e-05  1.1862069e+00 
 2.0075000e-05  1.1862069e+00 
 2.0125000e-05  1.1862069e+00 
 2.0175000e-05  1.1862069e+00 
 2.0225000e-05  1.1862069e+00 
 2.0275000e-05  1.1862069e+00 
 2.0325000e-05  1.1862069e+00 
 2.0375000e-05  1.1862069e+00 
 2.0425000e-05  1.1862069e+00 
 2.0475000e-05  1.1862069e+00 
 2.0500000e-05  1.1862069e+00 
 2.0505000e-05  1.1863926e+00 
 2.0515000e-05  1.1870303e+00 
 2.0535000e-05  1.1892401e+00 
 2.0575000e-05  1.1939021e+00 
 2.0625000e-05  1.1975265e+00 
 2.0675000e-05  1.1989731e+00 
 2.0725000e-05  1.1995182e+00 
 2.0775000e-05  1.1997406e+00 
 2.0825000e-05  1.1995388e+00 
 2.0875000e-05  1.1946734e+00 
 2.0925000e-05  1.1327136e+00 
 2.0975000e-05  6.0447496e-01 
 2.1000000e-05  7.3392892e-02 
 2.1000834e-05  5.7084925e-02 
 2.1002502e-05  3.1472902e-02 
 2.1005839e-05  9.5201540e-03 
 2.1007133e-05  7.5245129e-03 
 2.1008807e-05  6.2297935e-03 
 2.1010761e-05  5.6017156e-03 
 2.1014667e-05  5.2498448e-03 
 2.1019030e-05  5.2373725e-03 
 2.1027275e-05  5.2399109e-03 
 2.1040059e-05  5.2394233e-03 
 2.1065628e-05  5.2397069e-03 
 2.1115628e-05  5.2394883e-03 
 2.1165628e-05  5.2396730e-03 
 2.1215628e-05  5.2395170e-03 
 2.1265628e-05  5.2396488e-03 
 2.1315628e-05  5.2395374e-03 
 2.1365628e-05  5.2396315e-03 
 2.1415628e-05  5.2395520e-03 
 2.1465628e-05  5.2396192e-03 
 2.1515628e-05  5.2395624e-03 
 2.1565628e-05  5.2396104e-03 
 2.1615628e-05  5.2395699e-03 
