 time        v(VIN1)     time        v(VOUT1)   
 2.9605e-07  6.0000e-01  2.9605e-07  1.2000e+00 
 2.9705e-07  6.0000e-01  2.9705e-07  1.2000e+00 
 2.9805e-07  6.0000e-01  2.9805e-07  1.2000e+00 
 2.9905e-07  6.0000e-01  2.9905e-07  1.2000e+00 
 3.0005e-07  6.0000e-01  3.0005e-07  1.2000e+00 
 3.0105e-07  6.0000e-01  3.0105e-07  1.2000e+00 
 3.0205e-07  6.0000e-01  3.0205e-07  1.2000e+00 
 3.0305e-07  6.0000e-01  3.0305e-07  1.2000e+00 
 3.0405e-07  6.0000e-01  3.0405e-07  1.2000e+00 
 3.0505e-07  6.0000e-01  3.0505e-07  1.2000e+00 
 3.0605e-07  6.0000e-01  3.0605e-07  1.2000e+00 
 3.0705e-07  6.0000e-01  3.0705e-07  1.2000e+00 
 3.0805e-07  6.0000e-01  3.0805e-07  1.2000e+00 
 3.0905e-07  6.0000e-01  3.0905e-07  1.2000e+00 
 3.1005e-07  6.0000e-01  3.1005e-07  1.2000e+00 
 3.1105e-07  6.0000e-01  3.1105e-07  1.2000e+00 
 3.1205e-07  6.0000e-01  3.1205e-07  1.2000e+00 
 3.1305e-07  6.0000e-01  3.1305e-07  1.2000e+00 
 3.1405e-07  6.0000e-01  3.1405e-07  1.2000e+00 
 3.1505e-07  6.0000e-01  3.1505e-07  1.2000e+00 
 3.1605e-07  6.0000e-01  3.1605e-07  1.2000e+00 
 3.1705e-07  6.0000e-01  3.1705e-07  1.2000e+00 
 3.1805e-07  6.0000e-01  3.1805e-07  1.2000e+00 
 3.1905e-07  6.0000e-01  3.1905e-07  1.2000e+00 
 3.2005e-07  6.0000e-01  3.2005e-07  1.2000e+00 
 3.2105e-07  6.0000e-01  3.2105e-07  1.2000e+00 
 3.2205e-07  6.0000e-01  3.2205e-07  1.2000e+00 
 3.2305e-07  6.0000e-01  3.2305e-07  1.2000e+00 
 3.2405e-07  6.0000e-01  3.2405e-07  1.2000e+00 
 3.2505e-07  6.0000e-01  3.2505e-07  1.2000e+00 
 3.2605e-07  6.0000e-01  3.2605e-07  1.2000e+00 
 3.2705e-07  6.0000e-01  3.2705e-07  1.2000e+00 
 3.2805e-07  6.0000e-01  3.2805e-07  1.2000e+00 
 3.2905e-07  6.0000e-01  3.2905e-07  1.2000e+00 
 3.3005e-07  6.0000e-01  3.3005e-07  1.2000e+00 
 3.3105e-07  6.0000e-01  3.3105e-07  1.2000e+00 
 3.3205e-07  6.0000e-01  3.3205e-07  1.2000e+00 
 3.3305e-07  6.0000e-01  3.3305e-07  1.2000e+00 
 3.3405e-07  6.0000e-01  3.3405e-07  1.2000e+00 
 3.3505e-07  6.0000e-01  3.3505e-07  1.2000e+00 
 3.3605e-07  6.0000e-01  3.3605e-07  1.2000e+00 
 3.3705e-07  6.0000e-01  3.3705e-07  1.2000e+00 
 3.3805e-07  6.0000e-01  3.3805e-07  1.2000e+00 
 3.3905e-07  6.0000e-01  3.3905e-07  1.2000e+00 
 3.4005e-07  6.0000e-01  3.4005e-07  1.2000e+00 
 3.4105e-07  6.0000e-01  3.4105e-07  1.2000e+00 
 3.4205e-07  6.0000e-01  3.4205e-07  1.2000e+00 
 3.4305e-07  6.0000e-01  3.4305e-07  1.2000e+00 
 3.4405e-07  6.0000e-01  3.4405e-07  1.2000e+00 
 3.4505e-07  6.0000e-01  3.4505e-07  1.2000e+00 
 3.4605e-07  6.0000e-01  3.4605e-07  1.2000e+00 
 3.4705e-07  6.0000e-01  3.4705e-07  1.2000e+00 
 3.4805e-07  6.0000e-01  3.4805e-07  1.2000e+00 
 3.4905e-07  6.0000e-01  3.4905e-07  1.2000e+00 
 3.5005e-07  6.0000e-01  3.5005e-07  1.2000e+00 
 3.5105e-07  6.0000e-01  3.5105e-07  1.2000e+00 
 3.5205e-07  6.0000e-01  3.5205e-07  1.2000e+00 
 3.5305e-07  6.0000e-01  3.5305e-07  1.2000e+00 
 3.5405e-07  6.0000e-01  3.5405e-07  1.2000e+00 
 3.5505e-07  6.0000e-01  3.5505e-07  1.2000e+00 
 3.5605e-07  6.0000e-01  3.5605e-07  1.2000e+00 
 3.5705e-07  6.0000e-01  3.5705e-07  1.2000e+00 
 3.5805e-07  6.0000e-01  3.5805e-07  1.2000e+00 
 3.5905e-07  6.0000e-01  3.5905e-07  1.2000e+00 
 3.6005e-07  6.0000e-01  3.6005e-07  1.2000e+00 
 3.6105e-07  6.0000e-01  3.6105e-07  1.2000e+00 
 3.6205e-07  6.0000e-01  3.6205e-07  1.2000e+00 
 3.6305e-07  6.0000e-01  3.6305e-07  1.2000e+00 
 3.6405e-07  6.0000e-01  3.6405e-07  1.2000e+00 
