 time        v(VOUT1)    time        v(VIN1)    
 3.6020e-08  1.2000e+00  3.6020e-08  6.5000e-01 
 3.6120e-08  1.2000e+00  3.6120e-08  6.5000e-01 
 3.6220e-08  1.2000e+00  3.6220e-08  6.5000e-01 
 3.6320e-08  1.2000e+00  3.6320e-08  6.5000e-01 
 3.6420e-08  1.2000e+00  3.6420e-08  6.5000e-01 
 3.6520e-08  1.2000e+00  3.6520e-08  6.5000e-01 
 3.6620e-08  1.2000e+00  3.6620e-08  6.5000e-01 
 3.6720e-08  1.2000e+00  3.6720e-08  6.5000e-01 
 3.6820e-08  1.2000e+00  3.6820e-08  6.5000e-01 
 3.6920e-08  1.2000e+00  3.6920e-08  6.5000e-01 
 3.7020e-08  1.2000e+00  3.7020e-08  6.5000e-01 
 3.7120e-08  1.2000e+00  3.7120e-08  6.5000e-01 
 3.7220e-08  1.2000e+00  3.7220e-08  6.5000e-01 
 3.7320e-08  1.2000e+00  3.7320e-08  6.5000e-01 
 3.7420e-08  1.2000e+00  3.7420e-08  6.5000e-01 
 3.7520e-08  1.2000e+00  3.7520e-08  6.5000e-01 
 3.7620e-08  1.2000e+00  3.7620e-08  6.5000e-01 
 3.7720e-08  1.2000e+00  3.7720e-08  6.5000e-01 
 3.7820e-08  1.2000e+00  3.7820e-08  6.5000e-01 
 3.7920e-08  1.2000e+00  3.7920e-08  6.5000e-01 
 3.8020e-08  1.2000e+00  3.8020e-08  6.5000e-01 
 3.8120e-08  1.2000e+00  3.8120e-08  6.5000e-01 
 3.8220e-08  1.2000e+00  3.8220e-08  6.5000e-01 
 3.8320e-08  1.2000e+00  3.8320e-08  6.5000e-01 
 3.8420e-08  1.2000e+00  3.8420e-08  6.5000e-01 
 3.8520e-08  1.2000e+00  3.8520e-08  6.5000e-01 
 3.8620e-08  1.2000e+00  3.8620e-08  6.5000e-01 
 3.8720e-08  1.2000e+00  3.8720e-08  6.5000e-01 
 3.8820e-08  1.2000e+00  3.8820e-08  6.5000e-01 
 3.8920e-08  1.2000e+00  3.8920e-08  6.5000e-01 
 3.9020e-08  1.2000e+00  3.9020e-08  6.5000e-01 
 3.9120e-08  1.2000e+00  3.9120e-08  6.5000e-01 
 3.9220e-08  1.2000e+00  3.9220e-08  6.5000e-01 
 3.9320e-08  1.2000e+00  3.9320e-08  6.5000e-01 
 3.9420e-08  1.2000e+00  3.9420e-08  6.5000e-01 
 3.9520e-08  1.2000e+00  3.9520e-08  6.5000e-01 
