 time        v(VOUT1)   
 4.2950e-08  3.3951e-03 
 4.3050e-08  3.3951e-03 
 4.3150e-08  3.3951e-03 
 4.3250e-08  3.3951e-03 
 4.3350e-08  3.3951e-03 
 4.3450e-08  3.3951e-03 
 4.3550e-08  3.3951e-03 
 4.3650e-08  3.3951e-03 
 4.3750e-08  3.3951e-03 
 4.3850e-08  3.3951e-03 
 4.3950e-08  3.3951e-03 
 4.4050e-08  3.3951e-03 
 4.4150e-08  3.3951e-03 
 4.4250e-08  3.3951e-03 
 4.4350e-08  3.3951e-03 
 4.4450e-08  3.3951e-03 
 4.4550e-08  3.3951e-03 
 4.4650e-08  3.3951e-03 
 4.4750e-08  3.3951e-03 
 4.4850e-08  3.3951e-03 
 4.4950e-08  3.3951e-03 
 4.5050e-08  3.3951e-03 
 4.5150e-08  3.3951e-03 
 4.5250e-08  3.3951e-03 
 4.5350e-08  3.3951e-03 
 4.5450e-08  3.3951e-03 
 4.5550e-08  3.3951e-03 
 4.5650e-08  3.3951e-03 
 4.5750e-08  3.3951e-03 
 4.5850e-08  3.3951e-03 
 4.5950e-08  3.3951e-03 
 4.6050e-08  3.3951e-03 
 4.6150e-08  3.3951e-03 
 4.6250e-08  3.3951e-03 
 4.6350e-08  3.3951e-03 
 4.6450e-08  3.3951e-03 
 4.6550e-08  3.3951e-03 
 4.6650e-08  3.3951e-03 
 4.6750e-08  3.3951e-03 
 4.6850e-08  3.3951e-03 
 4.6950e-08  3.3951e-03 
 4.7050e-08  3.3951e-03 
 4.7150e-08  3.3951e-03 
 4.7250e-08  3.3951e-03 
 4.7350e-08  3.3951e-03 
 4.7450e-08  3.3951e-03 
 4.7550e-08  3.3951e-03 
 4.7650e-08  3.3951e-03 
 4.7750e-08  3.3951e-03 
 4.7850e-08  3.3951e-03 
 4.7950e-08  3.3951e-03 
 4.8050e-08  3.3951e-03 
 4.8150e-08  3.3951e-03 
 4.8250e-08  3.3951e-03 
 4.8350e-08  3.3951e-03 
 4.8450e-08  3.3951e-03 
 4.8550e-08  3.3951e-03 
 4.8650e-08  3.3951e-03 
 4.8750e-08  3.3951e-03 
 4.8850e-08  3.3951e-03 
 4.8950e-08  3.3951e-03 
 4.9050e-08  3.3951e-03 
 4.9150e-08  3.3951e-03 
 4.9250e-08  3.3951e-03 
 4.9350e-08  3.3951e-03 
 4.9450e-08  3.3951e-03 
 4.9550e-08  3.3951e-03 
 4.9650e-08  3.3951e-03 
 4.9750e-08  3.3951e-03 
 4.9850e-08  3.3951e-03 
 4.9950e-08  3.3951e-03 
 5.0050e-08  3.3951e-03 
 5.0150e-08  3.3951e-03 
 5.0250e-08  3.3951e-03 
 5.0350e-08  3.3951e-03 
 5.0450e-08  3.3951e-03 
 5.0550e-08  3.3951e-03 
 5.0650e-08  3.3951e-03 
 5.0750e-08  3.3951e-03 
 5.0850e-08  3.3951e-03 
 5.0950e-08  3.3951e-03 
 5.1050e-08  3.3951e-03 
 5.1150e-08  3.3951e-03 
 5.1250e-08  3.3951e-03 
 5.1350e-08  3.3951e-03 
 5.1450e-08  3.3951e-03 
 5.1550e-08  3.3951e-03 
 5.1650e-08  3.3951e-03 
 5.1750e-08  3.3951e-03 
 5.1850e-08  3.3951e-03 
 5.1950e-08  3.3951e-03 
 5.2050e-08  3.3951e-03 
 5.2150e-08  3.3951e-03 
 5.2250e-08  3.3951e-03 
 5.2350e-08  3.3951e-03 
 5.2450e-08  3.3951e-03 
 5.2550e-08  3.3951e-03 
 5.2650e-08  3.3951e-03 
 5.2750e-08  3.3951e-03 
 5.2850e-08  3.3951e-03 
 5.2950e-08  3.3951e-03 
 5.3050e-08  3.3951e-03 
 5.3150e-08  3.3951e-03 
 5.3250e-08  3.3951e-03 
 5.3350e-08  3.3951e-03 
 5.3450e-08  3.3951e-03 
 5.3550e-08  3.3951e-03 
 5.3650e-08  3.3951e-03 
 5.3750e-08  3.3951e-03 
 5.3850e-08  3.3951e-03 
 5.3950e-08  3.3951e-03 
 5.4050e-08  3.3951e-03 
 5.4150e-08  3.3951e-03 
 5.4250e-08  3.3951e-03 
 5.4350e-08  3.3951e-03 
 5.4450e-08  3.3951e-03 
 5.4550e-08  3.3951e-03 
 5.4650e-08  3.3951e-03 
 5.4750e-08  3.3951e-03 
 5.4850e-08  3.3951e-03 
 5.4950e-08  3.3951e-03 
 5.5050e-08  3.3951e-03 
 5.5150e-08  3.3951e-03 
 5.5250e-08  3.3951e-03 
 5.5350e-08  3.3951e-03 
 5.5450e-08  3.3951e-03 
 5.5550e-08  3.3951e-03 
 5.5650e-08  3.3951e-03 
 5.5750e-08  3.3951e-03 
 5.5850e-08  3.3951e-03 
 5.5950e-08  3.3951e-03 
 5.6050e-08  3.3951e-03 
 5.6150e-08  3.3951e-03 
 5.6250e-08  3.3951e-03 
 5.6350e-08  3.3951e-03 
 5.6450e-08  3.3951e-03 
 5.6550e-08  3.3951e-03 
 5.6650e-08  3.3951e-03 
 5.6750e-08  3.3951e-03 
 5.6850e-08  3.3951e-03 
 5.6950e-08  3.3951e-03 
 5.7050e-08  3.3951e-03 
 5.7150e-08  3.3951e-03 
 5.7250e-08  3.3951e-03 
 5.7350e-08  3.3951e-03 
 5.7450e-08  3.3951e-03 
 5.7550e-08  3.3951e-03 
 5.7650e-08  3.3951e-03 
 5.7750e-08  3.3951e-03 
 5.7850e-08  3.3951e-03 
 5.7950e-08  3.3951e-03 
 5.8050e-08  3.3951e-03 
 5.8150e-08  3.3951e-03 
 5.8250e-08  3.3951e-03 
 5.8350e-08  3.3951e-03 
 5.8450e-08  3.3951e-03 
 5.8550e-08  3.3951e-03 
 5.8650e-08  3.3951e-03 
 5.8750e-08  3.3951e-03 
 5.8850e-08  3.3951e-03 
 5.8950e-08  3.3951e-03 
 5.9050e-08  3.3951e-03 
 5.9150e-08  3.3951e-03 
 5.9250e-08  3.3951e-03 
 5.9350e-08  3.3951e-03 
 5.9450e-08  3.3951e-03 
 5.9550e-08  3.3951e-03 
 5.9650e-08  3.3951e-03 
 5.9750e-08  3.3951e-03 
 5.9850e-08  3.3951e-03 
 5.9950e-08  3.3951e-03 
 6.0050e-08  3.3951e-03 
 6.0150e-08  3.3951e-03 
 6.0250e-08  3.3951e-03 
 6.0350e-08  3.3951e-03 
 6.0450e-08  3.3951e-03 
 6.0550e-08  3.3951e-03 
 6.0650e-08  3.3951e-03 
 6.0750e-08  3.3951e-03 
 6.0850e-08  3.3951e-03 
 6.0950e-08  3.3951e-03 
 6.1050e-08  3.3951e-03 
 6.1150e-08  3.3951e-03 
 6.1250e-08  3.3951e-03 
 6.1350e-08  3.3951e-03 
 6.1450e-08  3.3951e-03 
 6.1550e-08  3.3951e-03 
 6.1650e-08  3.3951e-03 
 6.1750e-08  3.3951e-03 
 6.1850e-08  3.3951e-03 
 6.1950e-08  3.3951e-03 
 6.2050e-08  3.3951e-03 
 6.2150e-08  3.3951e-03 
 6.2250e-08  3.3951e-03 
 6.2350e-08  3.3951e-03 
 6.2450e-08  3.3951e-03 
 6.2550e-08  3.3951e-03 
 6.2650e-08  3.3951e-03 
 6.2750e-08  3.3951e-03 
 6.2850e-08  3.3951e-03 
 6.2950e-08  3.3951e-03 
 6.3050e-08  3.3951e-03 
 6.3150e-08  3.3951e-03 
 6.3250e-08  3.3951e-03 
 6.3350e-08  3.3951e-03 
 6.3450e-08  3.3951e-03 
 6.3550e-08  3.3951e-03 
 6.3650e-08  3.3951e-03 
 6.3750e-08  3.3951e-03 
 6.3850e-08  3.3951e-03 
 6.3950e-08  3.3951e-03 
 6.4050e-08  3.3951e-03 
 6.4150e-08  3.3951e-03 
 6.4250e-08  3.3951e-03 
 6.4350e-08  3.3951e-03 
 6.4450e-08  3.3951e-03 
 6.4550e-08  3.3951e-03 
 6.4650e-08  3.3951e-03 
 6.4750e-08  3.3951e-03 
 6.4850e-08  3.3951e-03 
 6.4950e-08  3.3951e-03 
 6.5050e-08  3.3951e-03 
 6.5150e-08  3.3951e-03 
 6.5250e-08  3.3951e-03 
 6.5350e-08  3.3951e-03 
 6.5450e-08  3.3951e-03 
 6.5550e-08  3.3951e-03 
 6.5650e-08  3.3951e-03 
 6.5750e-08  3.3951e-03 
 6.5850e-08  3.3951e-03 
 6.5950e-08  3.3951e-03 
